category,economic code,precision,recall,f1-score,support,precision,recall,f1-score,support
SALARIES AND WAGES,210101,0.89,0.82,0.85,38,0.92,0.87,0.89,38
ALLOWANCES,210201,1.00,0.94,0.97,34,0.97,0.94,0.96,34
DEATH BENEFITS,21030103,0.00,0.00,0.00,3,1.00,1.00,1.00,3
OVERHEAD COST,2202,1.00,0.89,0.94,19,1.00,0.89,0.94,19
TRAVEL& TRANSPORT - GENERAL,220201,1.00,0.73,0.84,37,1.00,0.84,0.91,37
ELECTRICITY CHARGES,22020201,1.00,0.96,0.98,24,0.92,1.00,0.96,24
INTERNET ACCESS CHARGES,22020203,1.00,0.33,0.50,3,1.00,0.67,0.80,3
MATERIALS & SUPPLIES - GENERAL,220203,1.00,0.57,0.73,14,1.00,0.64,0.78,14
OFFICE STATIONERIES / COMPUTER CONSUMABLES,22020301,0.00,0.00,0.00,3,1.00,0.67,0.80,3
PRINTING OF NON SECURITY DOCUMENTS,22020305,0.50,0.50,0.50,2,0.67,1.00,0.80,2
PRINTING OF SECURITY DOCUMENTS,22020306,0.00,0.00,0.00,1,1.00,1.00,1.00,1
DRUGS & MEDICAL SUPPLIES,22020307,1.00,0.71,0.83,7,0.86,0.86,0.86,7
UNIFORMS & OTHER CLOTHING,22020309,1.00,0.17,0.29,6,0.75,1.00,0.86,6
TEACHING AIDS / INSTRUCTION MATERIALS,22020310,1.00,0.40,0.57,5,0.80,0.80,0.80,5
FOOD STUFF / CATERING MATERIALS SUPPLIES,22020311,1.00,0.92,0.96,53,1.00,0.94,0.97,53
MAINTENANCE SERVICES - GENERAL,220204,0.00,0.00,0.00,4,0.00,0.00,0.00,4
MAINTENANCE OF OFFICE / IT EQUIPMENTS,22020404,0.00,0.00,0.00,5,1.00,0.80,0.89,5
TRAINING - GENERAL,220205,0.67,0.25,0.36,16,1.00,0.25,0.40,16
OFFICE RENT,22020602,0.50,0.20,0.29,5,0.80,0.80,0.80,5
RESIDENTIAL RENT,22020603,1.00,1.00,1.00,1,1.00,1.00,1.00,1
SECURITY VOTE (INCLUDING OPERATIONS),22020604,1.00,1.00,1.00,1,1.00,1.00,1.00,1
CLEANING & FUMIGATION SERVICES,22020605,1.00,0.87,0.93,15,1.00,1.00,1.00,15
CONSULTING & PROFESSIONAL SERVICES - GENERAL,220207,1.00,0.09,0.17,11,0.73,0.73,0.73,11
FINANCIAL CONSULTING,22020701,0.00,0.00,0.00,1,0.00,0.00,0.00,1
INFORMATION TECHNOLOGY CONSULTING,22020702,0.00,0.00,0.00,1,0.00,0.00,0.00,1
LEGAL SERVICES,22020703,0.00,0.00,0.00,1,0.00,0.00,0.00,1
ENGINEERING SERVICES,22020704,0.00,0.00,0.00,1,0.00,0.00,0.00,1
AUDITING OF ACCOUNTS,22020709,0.00,0.00,0.00,1,0.00,0.00,0.00,1
FUEL & LUBRICANTS - GENERAL,220208,1.00,0.85,0.92,41,0.98,0.98,0.98,41
INSURANCE PREMIUM,22020902,1.00,1.00,1.00,5,1.00,1.00,1.00,5
MISCELLANEOUS EXPENSES GENERAL,220210,0.69,0.98,0.81,85,0.86,0.96,0.91,85
